GENE,TYPE,MAX_CORR
LIFR-rt,RT,0.993147
TNFAIP3-rt,RT,0.992688
BACH1-rt,RT,0.992513
STK17B-rt,RT,0.992510
TNC-rt,RT,0.991983
ST3GAL1-rt,RT,0.991858
DIRC1-rt,RT,0.991727
CCDC168-rt,RT,0.991572
CTAGE1-rt,RT,0.991549
OTOGL-rt,RT,0.991533
SLC40A1-rt,RT,0.991519
TNFSF8-rt,RT,0.991343
MDM1-rt,RT,0.991110
ST7-OT3-rt,RT,0.990310
COL5A2-rt,RT,0.990285
ASPH-rt,RT,0.990271
DYRK2-rt,RT,0.990170
KIF18A-rt,RT,0.990047
COL3A1-rt,RT,0.989791
CH25H-rt,RT,0.989399
CLDN1-rt,RT,0.989317
LTBP1-rt,RT,0.989037
EVA1A-rt,RT,0.988989
BIVM-rt,RT,0.988987
WDR75-rt,RT,0.988125
PHF20L1-rt,RT,0.985962
MIR610-rt,RT,0.984909
MIR569-rt,RT,0.984393
ASNSD1-rt,RT,0.983969
ANKAR-rt,RT,0.982366
WNT2-rt,RT,0.981760
SLC1A2-rt,RT,0.981045
ARHGAP18-rt,RT,0.980971
TG-rt,RT,0.980060
STMND1-rt,RT,0.977344
INSL4-rt,RT,0.976385
ENOX1-rt,RT,0.972676
SNX13-rt,RT,0.967373
PIGN-rt,RT,0.958411
